Name, Count
Franklin_Greenwich,3
Franklin_Grove,2
Franklin_Hayes,3
Franklin_Jackson,3
Franklin_Lombard,4
Franklin_McAllister,2
Franklin_O'Farrell,2
Franklin_Oak,3
Franklin_Pacific,3
Franklin_Pine,2
Franklin_Post,2
Franklin_Sacramento,3
Franklin_Sutter,2
Franklin_Turk,2
Franklin_Union,3
Franklin_Vallejo,3
Franklin_Washington,3
Frederick_Stanyan,3
Fremont_Front_Market,4
Fremont_Harrison_Off Ramp,3
Fremont_Howard,2
Fremont_I-80 W Off Ramp,2
Fremont_Mission,4
Fremont_Natoma_Transbay Terminal,3
Frida Kahlo_City College Terminal,4
Frida Kahlo_Geneva_Ocean,3
Frida Kahlo_Lee Extension,3
Front_Pine,3
Front_Sacramento,2
Fulton_Gough,2
Fulton_Great Highway,4
Fulton_Hyde,2
Fulton_Laguna,3
Fulton_LaPlaya,6
Fulton_Larkin,2
Fulton_Masonic,3
Fulton_Park Presidio,3
Fulton_Parker_Shrader,3
Fulton_Stanyan,3
Fulton_Steiner,3
Fulton_Webster,2
Fulton_West of 32nd Ave,4
Funston_Lincoln,3
Geary_Gough,3
Geary_Grant,2
Geary_Hyde,2
Geary_Jones,2
Geary_Laguna,3
Geary_Larkin,2
Geary_Leavenworth,3
Geary_Mason,2
Geary_Masonic,5
Geary_Palm,3
Geary_Park Presidio,5
Geary_Parker,3
Geary_Polk,2
Geary_Powell,2
Geary_Scott,3
Geary_Spruce,3
Geary_Stanyan,7
Geary_Steiner,3
Geary_Stockton,3
Geary_Taylor,3
Geary_Van Ness,5
Geary_Webster,3
Geneva_Howth,3
Geneva_I-280 N On,0
Geneva_I-280 S On,0
Geneva_London,2
Geneva_Madrid,4
Geneva_Mission,3
Geneva_Moscow,3
Geneva_Naples,3
Geneva_Paris,3
Geneva_Prague,4
Geneva_San Jose,4
Geneva_Santos,0
Geneva_Stoneridge,3
Gennessee_Monterey,2
Girard_Gorgas_US-101 S Off Ramp,0
Girard_US 101 N On,0
Glendale_Market,3
Glenview_Portola,3
Goethe_San Jose,0
Golden Gate_Gough,3
Golden Gate_Hyde,2
Golden Gate_Jones,3
Golden Gate_Laguna,2
Golden Gate_Larkin,2
Golden Gate_Leavenworth,2
Golden Gate_Masonic,3
Golden Gate_Octavia,2
Golden Gate_Pierce,3
Golden Gate_Polk,2
Golden Gate_Scott,3
Golden Gate_Steiner,3
Golden Gate_Van Ness,7
Golden Gate_Webster,2
Goodlett_Midblock_Grove_McAllister,0
Gorgas_Lyon_Richardson,4
Gough_Grove,2
Gough_Haight_Market,4
Gough_Hayes,2
Gough_Jackson,2
Gough_Lombard,4
Gough_McAllister,2
Gough_McCoppin_Otis,3
Gough_Oak,3
Gough_Pacific,2
Gough_Page,2
Gough_Pine,2
Gough_Post,4
Gough_Sacramento,2
Gough_Sutter,3
Gough_Turk,2
Gough_Union,3
